"","code","sample","country","province","location","outcrop","decimallatitude","decimallongitude","sample.type","analysed.material","sample.details","main.ore","p206.204","p206.204.2sd","p207.204","p207.204.2sd","p208.204","p208.204.2sd","p207.206","p207.206.2sd","p208.206","p208.206.2sd","pb.content","u.content","model.age","mu","w","geological.zone","geol.age","host.rock","deposit.morphology","realm","excavation.no","find.spot","courtesy","period","chronology","tmod","mu12","kappa12","reference","ref.code","laboratory","spectrometry","observations","sample.type1"
"GDM.0805","GDM.0805","FM-VNSP19","Portugal","Lisboa",NA,"VNSP",39.210539,-8.845497,"Archaeological artefacts","Cu metal","copper prill",NA,18.846,NA,15.638,NA,38.297,NA,0.8298,NA,2.0321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Copper Age",NA,-100,9.5953,3.5724,"Müller&Monge-Soares, 2008","Ref.049","U. Freiberg","MC-ICPMS",NA,"Archaeological"
"GDM.0806","GDM.0806","FM-VNSP20","Portugal","Lisboa",NA,"VNSP",39.210539,-8.845497,"Archaeological artefacts","Cu metal","copper prill",NA,18.291,NA,15.653,NA,38.343,NA,0.8558,NA,2.0963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Copper Age",NA,349,9.7645,3.9495,"Müller&Monge-Soares, 2008","Ref.049","U. Freiberg","MC-ICPMS",NA,"Archaeological"
"GDM.0807","GDM.0807","FM-VNSP21","Portugal","Lisboa",NA,"VNSP",39.210539,-8.845497,"Archaeological artefacts","Cu metal","copper prill",NA,18.318,NA,15.616,NA,38.303,NA,0.8525,NA,2.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Copper Age",NA,258,9.6111,3.8969,"Müller&Monge-Soares, 2008","Ref.049","U. Freiberg","MC-ICPMS",NA,"Archaeological"
"GDM.0808","GDM.0808","FM-VNSP22","Portugal","Lisboa",NA,"VNSP",39.210539,-8.845497,"Archaeological artefacts","Cu metal","copper prill",NA,18.252,NA,15.644,NA,38.289,NA,0.8571,NA,2.0978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Copper Age",NA,361,9.7381,3.9436,"Müller&Monge-Soares, 2008","Ref.049","U. Freiberg","MC-ICPMS",NA,"Archaeological"
"GDM.0809","GDM.0809","FM-VNSP23","Portugal","Lisboa",NA,"VNSP",39.210539,-8.845497,"Archaeological artefacts","Cu metal","copper prill",NA,18.496,NA,15.651,NA,38.427,NA,0.8462,NA,2.0776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Copper Age",NA,192,9.7098,3.8576,"Müller&Monge-Soares, 2008","Ref.049","U. Freiberg","MC-ICPMS",NA,"Archaeological"
"GDM.0810","GDM.0810","FM-VNSP24","Portugal","Lisboa",NA,"VNSP",39.210539,-8.845497,"Archaeological artefacts","Cu metal","copper prill",NA,18.329,NA,15.646,NA,38.372,NA,0.8536,NA,2.0935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Copper Age",NA,307,9.7274,3.9371,"Müller&Monge-Soares, 2008","Ref.049","U. Freiberg","MC-ICPMS",NA,"Archaeological"
"GDM.0811","GDM.0811","FM-VNSP25","Portugal","Lisboa",NA,"VNSP",39.210539,-8.845497,"Archaeological artefacts","Cu metal","copper prill",NA,19.799,NA,15.699,NA,39.158,NA,0.7929,NA,1.9778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Copper Age",NA,-712,9.7024,3.4661,"Müller&Monge-Soares, 2008","Ref.049","U. Freiberg","MC-ICPMS",NA,"Archaeological"
"GDM.0812","GDM.0812","FM-VNSP26","Portugal","Lisboa",NA,"VNSP",39.210539,-8.845497,"Archaeological artefacts","Cu metal","copper fragment",NA,18.348,NA,15.642,NA,38.412,NA,0.8525,NA,2.0935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Copper Age",NA,286,9.7071,3.9443,"Müller&Monge-Soares, 2008","Ref.049","U. Freiberg","MC-ICPMS",NA,"Archaeological"
"GDM.2869","GDM.2869","30","Spain","Lugo","Antas de Ulla",NA,42.782777,-7.896742,"Archaeological artefacts","Silver","Silver spirals",NA,18.2255,NA,15.6381,NA,38.2938,NA,0.858032,NA,2.101112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,370,9.7211,3.9623,"Comendador et al., 2009","Ref.051","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological"
"GDM.2870","GDM.2870","33","Spain","Lugo","Antas de Ulla",NA,42.782777,-7.896742,"Archaeological artefacts","Silver","Silver spirals",NA,18.211,NA,15.653,NA,38.3153,NA,0.859534,NA,2.103964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,408,9.7847,3.9892,"Comendador et al., 2009","Ref.051","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological"
"GDM.2871","GDM.2871","35","Spain","Lugo","Antas de Ulla",NA,42.782777,-7.896742,"Archaeological artefacts","Silver","Silver spirals",NA,18.2331,NA,15.6836,NA,38.4125,NA,0.860172,NA,2.106744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,447,9.9028,4.0376,"Comendador et al., 2009","Ref.051","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological"
"GDM.2872","GDM.2872","36","Spain","Lugo","Antas de Ulla",NA,42.782777,-7.896742,"Archaeological artefacts","Silver","Silver spirals",NA,18.2269,NA,15.6646,NA,38.3608,NA,0.859421,NA,2.104624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,418,9.8274,4.0071,"Comendador et al., 2009","Ref.051","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological"
"GDM.0887","GDM.0887","5130","Spain","Girona","Ampurias",NA,42.134501,3.117362,"Archaeological artefacts","Silver","<U+FEFF>Ag Coin",NA,18.763,0.022,15.656,0.024,38.78,0.024,0.8344,0.006,2.06681,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Greek","2nd BC",1,9.6775,3.8686,"Montero-Ruiz et al., 2009a","Ref.053","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0888","GDM.0888","5827","Spain","Girona","Ampurias",NA,42.134501,3.117362,"Archaeological artefacts","Silver","<U+FEFF>Ag Coin",NA,18.615,0.058,15.664,0.056,38.759,0.056,0.84826,0.012,2.0822,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Greek","4th BC",129,9.736,3.9563,"Montero-Ruiz et al., 2009a","Ref.053","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0889","GDM.0889","6181","Spain","Girona","Ampurias",NA,42.134501,3.117362,"Archaeological artefacts","Silver","<U+FEFF>Ag Coin",NA,18.662,0.066,15.646,0.064,38.712,0.066,0.83844,0.012,2.07441,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Greek","3rd BC",57,9.6575,3.8953,"Montero-Ruiz et al., 2009a","Ref.053","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0890","GDM.0890","2226","Spain","Girona","Ampurias",NA,42.134501,3.117362,"Archaeological artefacts","Silver","<U+FEFF>Ag ring",NA,18.348,0.024,15.648,0.032,38.454,0.036,0.85287,0.008,2.09582,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Greek","6th BC",297,9.7309,3.9689,"Montero-Ruiz et al., 2009a","Ref.053","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0891","GDM.0891","2618","Spain","Girona","Ampurias",NA,42.134501,3.117362,"Archaeological artefacts","Pb metal","<U+FEFF>Inscribed Pb 2618",NA,18.727,0.03,15.685,0.034,39.014,0.042,0.83755,0.01,2.08331,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Greek","4th-3rd BC",86,9.7954,4.0199,"Montero-Ruiz et al., 2009a","Ref.053","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0892","GDM.0892","1980-28-163","Spain","Girona","Ampurias",NA,42.134501,3.117362,"Archaeological artefacts","Pb metal","<U+FEFF>Pb ingot",NA,18.651,0.03,15.678,0.034,38.912,0.04,0.8406,0.01,2.08624,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Greek","2nd-1st BC",129,9.7831,4.0158,"Montero-Ruiz et al., 2009a","Ref.053","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0893","GDM.0893","N-3-6201","Spain","Girona","Ampurias",NA,42.134501,3.117362,"Archaeological artefacts","Pb metal","Pb disc",NA,18.787,0.034,15.682,0.036,38.879,0.04,0.83471,0.008,2.06945,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Greek","4th-3rd BC",35,9.7727,3.9122,"Montero-Ruiz et al., 2009a","Ref.053","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0894","GDM.0894","MN5016","Spain","Girona","Ampurias",NA,42.134501,3.117362,"Archaeological artefacts","Pb metal","<U+FEFF>Pb sheet",NA,18.303,0.04,15.661,0.04,38.438,0.04,0.85567,0.01,2.1001,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Greek","4th BC",355,9.7935,3.9954,"Montero-Ruiz et al., 2009a","Ref.053","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0895","GDM.0895","1983-7-717","Spain","Girona","Ampurias",NA,42.134501,3.117362,"Archaeological artefacts","Pb metal","<U+FEFF>Pb sheet",NA,18.727,0.03,15.686,0.036,39.023,0.04,0.83763,0.01,2.08377,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Greek","2nd-1st BC",88,9.7992,4.0248,"Montero-Ruiz et al., 2009a","Ref.053","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0896","GDM.0896","1984-2-66","Spain","Girona","Ampurias",NA,42.134501,3.117362,"Archaeological artefacts","Pb metal","Pb droplet",NA,18.361,0.028,15.675,0.028,38.56,0.032,0.85372,0.008,2.10009,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Greek","2nd-1st BC",338,9.8352,4.0262,"Montero-Ruiz et al., 2009a","Ref.053","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0897","GDM.0897","Gal (no invent Nr.)","Spain","Girona","Ampurias",NA,42.134501,3.117362,"Archaeological artefacts","Galena","Galena",NA,18.3149,0.008,15.6701,0.009,38.4714,0.019,0.855595,0.005,2.099605,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Greek",NA,363,9.827,4.0085,"Montero-Ruiz et al., 2009a","Ref.053","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0898","GDM.0898","PA12407","Spain","Girona","Ampurias",NA,42.134501,3.117362,"Archaeological artefacts","Galena","Galena",NA,18.5351,0.008,15.6895,0.009,38.8735,0.019,0.846474,0.005,2.097253,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Greek",NA,237,9.8523,4.078,"Montero-Ruiz et al., 2009a","Ref.053","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.2912","GDM.2912","PA13736","Spain","Girona","Ampurias",NA,42.134721,3.120394,"Archaeological artefacts","Galena","Galena",NA,18.3434,7e-04,15.6799,6e-04,38.5505,0.0016,0.8548,1e-05,2.10159,4e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Iron Age","H2",360,9.8592,4.0349,"Montero-Ruiz et al., 2009b","Ref.054","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological"
"GDM.2913","GDM.2913","PA12447","Spain","Girona","Banyoles",NA,42.114101,2.752162,"Archaeological artefacts","Pb metal"," Lámina con perforaciones",NA,18.7228,NA,15.6761,NA,38.995,NA,0.837265,NA,2.08267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Iron Age","III",72,9.7619,4.0098,"Montero-Ruiz et al., 2009b","Ref.054","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological"
"GDM.0899","GDM.0899","CVM-177-13","Spain","Tarragona","El Molar","El Calvari",41.168095,0.7022,"Archaeological artefacts","Galena",NA,NA,18.335,NA,15.697,NA,38.558,NA,0.856,NA,2.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,398,9.93,4.0506,"Montero-Ruiz et al., 2009c","Ref.055","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0900","GDM.0900","CVM-170-16","Spain","Tarragona","El Molar","El Calvari",41.168095,0.7022,"Archaeological artefacts","Pb metal",NA,NA,18.321,NA,15.688,NA,38.52,NA,0.856,NA,2.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,391,9.8974,4.0367,"Montero-Ruiz et al., 2009c","Ref.055","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0901","GDM.0901",NA,"Spain","Tarragona","El Molar","El Calvari",41.168095,0.7022,"Archaeological artefacts","Pb metal",NA,NA,18.308,NA,15.67,NA,38.464,NA,0.856,NA,2.101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,368,9.8283,4.0092,"Montero-Ruiz et al., 2009c","Ref.055","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0902","GDM.0902","CVM-170-17","Spain","Tarragona","El Molar","El Calvari",41.168095,0.7022,"Archaeological artefacts","Pb metal",NA,NA,18.306,NA,15.664,NA,38.449,NA,0.856,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,358,9.8048,4.0004,"Montero-Ruiz et al., 2009c","Ref.055","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0903","GDM.0903","UE149","Spain","Tarragona","El Molar","El Calvari",41.168095,0.7022,"Archaeological artefacts","Pb metal","Slag",NA,18.337,NA,15.669,NA,38.484,NA,0.855,NA,2.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,345,9.8171,3.9998,"Montero-Ruiz et al., 2009c","Ref.055","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0904","GDM.0904","UE154","Spain","Tarragona","El Molar","El Calvari",41.168095,0.7022,"Archaeological artefacts","Galena",NA,NA,18.31,NA,15.657,NA,38.423,NA,0.855,NA,2.098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,342,9.7758,3.9812,"Montero-Ruiz et al., 2009c","Ref.055","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0905","GDM.0905",NA,"Spain","Tarragona","El Molar","Sant Jaume",41.167,0.707,"Archaeological artefacts","Pb metal",NA,NA,18.679,NA,15.683,NA,38.931,NA,0.84,NA,2.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,118,9.797,4.0088,"Montero-Ruiz et al., 2009c","Ref.055","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0906","GDM.0906",NA,"Spain","Tarragona","El Molar","Sant Jaume",41.167,0.707,"Archaeological artefacts","Pb metal",NA,NA,18.697,NA,15.7,NA,38.984,NA,0.839,NA,2.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,138,9.8593,4.03,"Montero-Ruiz et al., 2009c","Ref.055","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0907","GDM.0907","SJ-1006-278","Spain","Tarragona","El Molar","Sant Jaume",41.167,0.707,"Archaeological artefacts","Pb metal",NA,NA,18.7,NA,15.677,NA,38.904,NA,0.838,NA,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,90,9.7697,3.9791,"Montero-Ruiz et al., 2009c","Ref.055","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0908","GDM.0908","SJ-1022-209","Spain","Tarragona","El Molar","Sant Jaume",41.167,0.707,"Archaeological artefacts","Pb metal",NA,NA,18.688,NA,15.689,NA,38.947,NA,0.84,NA,2.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,123,9.8184,4.0132,"Montero-Ruiz et al., 2009c","Ref.055","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0909","GDM.0909","PA11948","Spain","Tarragona","El Molar","Mineralogia",41.167,0.707,"Archaeological artefacts","Galena",NA,NA,18.408,NA,15.8,NA,38.928,NA,0.858,NA,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,527,10.3294,4.2336,"Montero-Ruiz et al., 2009c","Ref.055","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0910","GDM.0910","PA11985","Spain","Tarragona","El Molar","Mineralogia",41.167,0.707,"Archaeological artefacts","Galena",NA,NA,18.32,NA,15.692,NA,38.533,NA,0.857,NA,2.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,399,9.9137,4.0458,"Montero-Ruiz et al., 2009c","Ref.055","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0911","GDM.0911",NA,"Spain","Tarragona","El Molar","Mineralogia",41.167,0.707,"Archaeological artefacts","Galena",NA,NA,18.317,NA,15.689,NA,38.521,NA,0.857,NA,2.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,396,9.9024,4.0403,"Montero-Ruiz et al., 2009c","Ref.055","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0912","GDM.0912","PA11987","Spain","Tarragona","El Molar","Mineralogia",41.167,0.707,"Archaeological artefacts","Galena",NA,NA,18.309,NA,15.676,NA,38.483,NA,0.856,NA,2.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,378,9.8522,4.0208,"Montero-Ruiz et al., 2009c","Ref.055","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0913","GDM.0913",NA,"Spain","Tarragona","El Molar","Mineralogia",41.167,0.707,"Archaeological artefacts","Galena",NA,NA,18.318,NA,15.688,NA,38.52,NA,0.856,NA,2.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,394,9.8981,4.0387,"Montero-Ruiz et al., 2009c","Ref.055","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0914","GDM.0914","PA11988","Spain","Tarragona","El Molar","Mineralogia",41.167,0.707,"Archaeological artefacts","Galena",NA,NA,18.301,NA,15.667,NA,38.453,NA,0.856,NA,2.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,367,9.8181,4.007,"Montero-Ruiz et al., 2009c","Ref.055","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0915","GDM.0915","PA11997","Spain","Tarragona","El Molar","Barranco Hondo",41.167,0.707,"Archaeological artefacts","Galena",NA,NA,18.301,NA,15.662,NA,38.44,NA,0.856,NA,2.101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,358,9.798,3.9982,"Montero-Ruiz et al., 2009c","Ref.055","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0916","GDM.0916","PA11998","Spain","Tarragona","El Molar","Barranco Hondo",41.167,0.707,"Archaeological artefacts","Galena",NA,NA,18.313,NA,15.677,NA,38.487,NA,0.856,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,377,9.8552,4.0206,"Montero-Ruiz et al., 2009c","Ref.055","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0917","GDM.0917","PA11992","Spain","Tarragona","El Molar","Mina Regia",41.167,0.707,"Archaeological artefacts","Galena",NA,NA,18.301,NA,15.671,NA,38.46,NA,0.856,NA,2.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,375,9.8341,4.0122,"Montero-Ruiz et al., 2009c","Ref.055","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0918","GDM.0918","PA11993","Spain","Tarragona","El Molar","Mina Regia",41.167,0.707,"Archaeological artefacts","Galena",NA,NA,18.314,NA,15.686,NA,38.511,NA,0.857,NA,2.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,393,9.8911,4.036,"Montero-Ruiz et al., 2009c","Ref.055","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0919","GDM.0919","PA11954","Spain","Tarragona","El Molar","Linda Mariquita",41.167319,0.707638,"Archaeological artefacts","Galena",NA,NA,18.323,NA,15.68,NA,38.503,NA,0.856,NA,2.101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,375,9.8647,4.0234,"Montero-Ruiz et al., 2009c","Ref.055","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0920","GDM.0920",NA,"Spain","Tarragona","El Molar","Linda Mariquita",41.167319,0.707638,"Archaeological artefacts","Galena",NA,NA,18.322,NA,15.677,NA,38.495,NA,0.856,NA,2.101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,371,9.8529,4.0187,"Montero-Ruiz et al., 2009c","Ref.055","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0921","GDM.0921","PA11996","Spain","Tarragona","El Molar","Linda Mariquita",41.167319,0.707638,"Archaeological artefacts","Cu metal",NA,NA,18.368,NA,15.658,NA,38.506,NA,0.852,NA,2.101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,301,9.7659,3.9866,"Montero-Ruiz et al., 2009c","Ref.055","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0922","GDM.0922","PA12007","Spain","Tarragona","El Molar","Linda Mariquita",41.167319,0.707638,"Archaeological artefacts","Galena",NA,NA,18.431,NA,15.688,NA,38.655,NA,0.851,NA,2.096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,311,9.8702,4.0336,"Montero-Ruiz et al., 2009c","Ref.055","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0923","GDM.0923",NA,"Spain","Tarragona","El Molar","Linda Mariquita",41.167319,0.707638,"Archaeological artefacts","Galena",NA,NA,18.433,NA,15.69,NA,38.665,NA,0.851,NA,2.097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,313,9.8777,4.0382,"Montero-Ruiz et al., 2009c","Ref.055","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0924","GDM.0924","PA12008","Spain","Tarragona","El Molar","Linda Mariquita",41.167319,0.707638,"Archaeological artefacts","Galena",NA,NA,18.322,NA,15.688,NA,38.524,NA,0.856,NA,2.098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,391,9.8971,4.0382,"Montero-Ruiz et al., 2009c","Ref.055","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0925","GDM.0925",NA,"Spain","Tarragona","El Molar","Linda Mariquita",41.167319,0.707638,"Archaeological artefacts","Galena",NA,NA,18.316,NA,15.68,NA,38.498,NA,0.856,NA,2.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,380,9.8665,4.0255,"Montero-Ruiz et al., 2009c","Ref.055","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0926","GDM.0926","PA11994","Spain","Tarragona","El Molar","Raimunda",41.16613,0.714443,"Archaeological artefacts","Galena",NA,NA,18.333,NA,15.691,NA,38.545,NA,0.856,NA,2.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,388,9.9064,4.0429,"Montero-Ruiz et al., 2009c","Ref.055","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0927","GDM.0927",NA,"Spain","Tarragona","El Molar","Raimunda",41.16613,0.714443,"Archaeological artefacts","Galena",NA,NA,18.333,NA,15.692,NA,38.545,NA,0.856,NA,2.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,390,9.9104,4.0433,"Montero-Ruiz et al., 2009c","Ref.055","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0928","GDM.0928","PA11995","Spain","Tarragona","El Molar","Raimunda",41.16613,0.714443,"Archaeological artefacts","Galena",NA,NA,18.317,NA,15.672,NA,38.483,NA,0.856,NA,2.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,365,9.8341,4.0139,"Montero-Ruiz et al., 2009c","Ref.055","UPV/EHU, Leioa","TIMS",NA,"Archaeological"
"GDM.0929","GDM.0929","F-25090","Spain","Alicante","Guardamar del Segura","La Fonteta",38.10553,-0.64887,"Archaeological artefacts","Galena",NA,NA,18.3254,NA,15.664,NA,38.5321,NA,0.8548,NA,2.1027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age","RF",344,9.8,4.0318,"Renzi et al., 2009","Ref.056","WWU, Münster","TIMS",NA,"Archaeological"
"GDM.0930","GDM.0930","F-62073","Spain","Alicante","Guardamar del Segura","La Fonteta",38.10553,-0.64887,"Archaeological artefacts","Galena",NA,NA,18.325,NA,15.666,NA,38.5383,NA,0.8549,NA,2.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age","AF",348,9.8081,4.0361,"Renzi et al., 2009","Ref.056","WWU, Münster","TIMS",NA,"Archaeological"
"GDM.0931","GDM.0931","F-12752","Spain","Alicante","Guardamar del Segura","La Fonteta",38.10553,-0.64887,"Archaeological artefacts","Galena",NA,NA,18.317,NA,15.6545,NA,38.5031,NA,0.8546,NA,2.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age","AF",332,9.7641,4.0187,"Renzi et al., 2009","Ref.056","WWU, Münster","TIMS",NA,"Archaeological"
"GDM.0932","GDM.0932","F-41567","Spain","Alicante","Guardamar del Segura","La Fonteta",38.10553,-0.64887,"Archaeological artefacts","Galena",NA,NA,18.3348,NA,15.6733,NA,38.5613,NA,0.8548,NA,2.1032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age","AF",354,9.8349,4.0443,"Renzi et al., 2009","Ref.056","WWU, Münster","TIMS",NA,"Archaeological"
